Team,RECORD,PERCENTAGE,PLAYOFFS,RING,PLAYOFF RECORD,ESPN WINS,ESPN LOSS,SLEEPER WINS,SLEEPER LOSS,TOTAL WINS,TOTAL LOSSES,SEASONS,TOTAL PF,TOTAL PA,PF PER SEASON,PA PER SEASON
Devin,61-48,55.96%,"6/8 - 18,19,21,22,23,25",💍(2021),3-5,20,6,41,42,61,48,8,15369.12,14402.90,1921.1,1800.4
Kap,59-50,54.13%,"5/8 - 20,21,22,23,25",,3-5,7,19,52,31,59,50,8,15271.18,14800.64,1908.9,1850.1
Tyler,56-53,51.38%,"5/8 - 18,20,21,23,24",💍(2023*) (Chaf Council of Shitters Mickey Mouse Ring),3-4,12,14,44,39,56,53,8,14907.56,14887.70,1863.4,1861.0
Charlie,54-55,49.54%,"5/8 - 18,19,21,24,25","💍💍(2018*, 2025) (Inception of League Mickey Mouse Ring)",6-3,15,11,39,44,54,55,8,14686.40,14789.66,1835.8,1848.7
Jay,53-42,55.79%,"5/7 - 18,19,20,22,24",💍(2022*) (Damar Hamlin Mickey Mouse Ring),5-4,20,6,33,36,53,42,7,12897.17,12781.50,1842.5,1825.9
Nick,52-31,62.65%,"6/6 - 20,21,22,23,24,25",💍(2024),6-5,0,0,52,31,52,31,6,11734.24,10956.83,1955.7,1826.1
Bij,50-59,45.87%,"4/8 - 18,19,20,24",,1-4,16,10,34,49,50,59,8,14577.16,14681.14,1822.1,1835.1
Stove,46-50,47.92%,"3/7 - 19,23,24",💍(2019),4-2,11,2,35,48,46,50,7,12476.34,12733.98,1782.3,1819.1
Chaf,42-39,51.85%,"4/6 - 19,21,22,23",,4-4,12,14,30,25,42,39,6,10884.04,10951.08,1814.0,1825.2
Matt,41-68,37.61%,"3/8 - 20,22,25",💍(2020),3-2,7,19,34,49,41,68,8,13982.56,14931.12,1747.8,1866.4
Leo,21-21,50.00%,1/3 - 25,,0-1,0,0,21,21,21,21,3,5541.08,5478.74,1847.0,1826.2
